id	number	name	billing_account_id	approval_status	date_entered
4a56614b-4cef-c7b0-bfc0-4bf2de1ce7b6	10058	10058	a93a8807-0835-0a22-f536-4c17bf70b6d4	NULL	2010-05-18 18:38:00
ca500f83-f780-8b6c-7f9a-4bf2df5e6a1e	10059	10059	ac22e7fc-4937-66e6-5b5a-4bf2dd5ef2a8	NULL	2010-05-18 18:42:52
d6e563b0-6b5f-9ac9-459d-4bf2ec673f89	10060	10060	NULL	NULL	2010-05-18 19:37:57
4b385a09-292a-a1ff-1fdd-4bf2ed2de508	10061	10061	NULL	NULL	2010-05-18 19:41:41
383a6ac3-3c2a-d714-2b93-4bf2f05cebc1	10062	10062	3a9e0238-0bdd-6e59-70ee-4bf2eecfa2b3	NULL	2010-05-18 19:54:35
85440770-7d39-0d2e-d9d9-4bf2f2e57eaa	10063	10063	NULL	NULL	2010-05-18 20:01:59
cf506137-41fc-3c7f-9a17-4bf2f527f96e	10064	10064	NULL	NULL	2010-05-18 20:15:58
67f6030c-ffb4-62bd-1863-4bf308bfab80	10065	10065	73d012f9-45f4-e92d-98e0-4bbb338403d4	NULL	2010-05-18 21:38:14
22d97cb6-885b-d214-23cb-4bf33aec746a	10066	10066	255760d5-f789-d64e-3baf-4bf33a10e0bc	NULL	2010-05-19 01:10:21
ef074c8b-e606-9c46-3ed9-4bf34080b763	10067	10067	NULL	NULL	2010-05-19 01:34:26
8db50c01-630e-42c1-a972-4bf341a140e1	10068	10068	NULL	NULL	2010-05-19 01:39:48
73d34b3b-744b-e22c-7e1d-4bf34a32ae2d	10069	10069	NULL	NULL	2010-05-19 02:17:59
3edbd447-0c9a-bb40-15e8-4bf3f1af2cc6	10070	10070	NULL	NULL	2010-05-19 14:12:13
ea141de3-3ae7-dbff-b8a9-4bf3f8561965	10071	10071	NULL	NULL	2010-05-19 14:42:35
caac8cee-1726-926e-ddc7-4bf40694786c	10072	10072	2d7b4a19-2dfc-8ccd-3d2e-4bf405727fbc	NULL	2010-05-19 15:39:27
1eca117d-4c66-10d7-cab2-4bf40751f1a4	10073	10073	NULL	NULL	2010-05-19 15:43:08
26c2a0e1-3b17-d607-b26d-4bf4089a0830	10074	10074	5a92e2fb-5c65-facb-da86-4bf407861089	NULL	2010-05-19 15:48:18
5e6c0a03-6684-151e-747d-4bf41b09a919	10075	10075	NULL	NULL	2010-05-19 17:10:04
84d38188-ab6f-2d9c-db21-4bf4237e8a8b	10076	10076	131049b5-3145-c4fb-5cc2-4bd9e336cb54	NULL	2010-05-19 17:45:01
